"job_id","job_title","yearly_salary","company_name","skill_name"
40145,"Staff Data Scientist/Quant Researcher","$550,000.00","Selby Jennings","sql"
40145,"Staff Data Scientist/Quant Researcher","$550,000.00","Selby Jennings","python"
1714768,"Staff Data Scientist - Business Analytics","$525,000.00","Selby Jennings","sql"
1131472,"Data Scientist","$375,000.00","Algo Capital Group","java"
1131472,"Data Scientist","$375,000.00","Algo Capital Group","tableau"
1131472,"Data Scientist","$375,000.00","Algo Capital Group","cassandra"
1131472,"Data Scientist","$375,000.00","Algo Capital Group","hadoop"
1131472,"Data Scientist","$375,000.00","Algo Capital Group","spark"
1131472,"Data Scientist","$375,000.00","Algo Capital Group","python"
1131472,"Data Scientist","$375,000.00","Algo Capital Group","sql"
